[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | INFO: Tag[ route_check ] --START--
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | INFO: Run CheckRoute Behavior [ RunTime:0.001162s ]
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001304s ]
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | INFO: Tag[ app_begin ] --START--
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000628s ]
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000702s ]
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.003290s ]
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | SQL: SHOW COLUMNS FROM `czxy_admin` [ RunTime:0.002421s ]
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | SQL: SELECT a.*,GROUP_CONCAT(c.rname) as rname FROM czxy_admin a LEFT JOIN czxy_roleadmin b ON b.aid=a.id LEFT JOIN czxy_adminrole c ON c.id=b.rid GROUP BY a.id  [ RunTime:0.000465s ]
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | INFO: Tag[ view_template ] --START--
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000336s ]
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000401s ]
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | INFO: Tag[ view_parse ] --START--
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T15:54:02+08:00 ] /health/Admin.php/Admin/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
