[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | INFO: Tag[ route_check ] --START--
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | INFO: Run CheckRoute Behavior [ RunTime:0.000504s ]
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | INFO: Tag[ route_check ] --END-- [ RunTime:0.000564s ]
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | INFO: Tag[ app_begin ] --START--
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000493s ]
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000612s ]
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.001603s ]
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | SQL: SHOW COLUMNS FROM `czxy_roleadmin` [ RunTime:0.001853s ]
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | SQL: SELECT COUNT(*) AS tp_count FROM czxy_roleadmin a LEFT JOIN czxy_rolepri b ON b.rid=a.rid
                LEFT JOIN czxy_privilege c ON b.pid=c.id  WHERE ( a.aid = '3' ) AND ( c.modulename = 'Admin' ) AND ( c.controllername = 'Single' ) AND ( c.actionname = 'addprofile' ) LIMIT 1   [ RunTime:0.000367s ]
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | SQL: SHOW COLUMNS FROM `czxy_teach` [ RunTime:0.002278s ]
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | SQL: SELECT * FROM `czxy_teach` WHERE aid=3 LIMIT 1   [ RunTime:0.000353s ]
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | INFO: Tag[ view_template ] --START--
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | INFO: Run LocationTemplate Behavior [ RunTime:0.000401s ]
[ 2017-05-02T10:58:53+08:00 ] /health/Admin.php/Single/addprofile | INFO: Tag[ view_template ] --END-- [ RunTime:0.000493s ]
