[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | INFO: Tag[ route_check ] --START--
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | INFO: Run CheckRoute Behavior [ RunTime:0.000962s ]
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001059s ]
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | INFO: Tag[ app_begin ] --START--
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000707s ]
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000879s ]
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.003658s ]
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | SQL: SHOW COLUMNS FROM `czxy_admin` [ RunTime:0.002279s ]
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | SQL: SELECT COUNT(*) AS tp_count FROM czxy_admin a LEFT JOIN czxy_teach b ON b.aid=a.id
                      
                       WHERE a.id!=1 LIMIT 1   [ RunTime:0.000795s ]
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | SQL: SELECT a.id,a.adminusername,b.idcard,b.sex,b.name,b.aid,b.onephoto FROM czxy_admin a LEFT JOIN czxy_teach b ON b.aid=a.id
                      
                       WHERE a.id!=1  [ RunTime:0.000380s ]
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | INFO: Tag[ view_template ] --START--
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000267s ]
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000309s ]
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | INFO: Tag[ view_parse ] --START--
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:11:38+08:00 ] /health/Admin.php/Stu/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
