[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | INFO: Tag[ route_check ] --START--
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | INFO: Run CheckRoute Behavior [ RunTime:0.002943s ]
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003314s ]
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | INFO: Tag[ app_begin ] --START--
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002111s ]
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002228s ]
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.003477s ]
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | SQL: SHOW COLUMNS FROM `czxy_admin` [ RunTime:0.004145s ]
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-25T08:51:38+08:00 ] /health/Admin.php/Admin/Index/ | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
