[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | INFO: Tag[ route_check ] --START--
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000515s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000577s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | INFO: Tag[ app_begin ] --START--
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000324s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000365s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.001949s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | SQL: SHOW COLUMNS FROM `czxy_adminrole` [ RunTime:0.002054s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | SQL: SELECT * FROM `czxy_adminrole` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000267s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | SQL: SHOW COLUMNS FROM `czxy_rolepri` [ RunTime:0.001862s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | SQL: SELECT GROUP_CONCAT(pid) pid FROM `czxy_rolepri` WHERE ( `rid` = 1 ) LIMIT 1   [ RunTime:0.000326s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.001960s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | SQL: SELECT * FROM `czxy_privilege`  [ RunTime:0.000368s ]
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
[ 2017-05-27T09:32:05+08:00 ] /health/admin.php/Adminrole/edit/id/1 | NOTIC: [8] Use of undefined constant id - assumed 'id' PrivilegeModel.class.php 第 31 行.
