[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ route_check ] --START--
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Run CheckRoute Behavior [ RunTime:0.000646s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ route_check ] --END-- [ RunTime:0.000722s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ app_begin ] --START--
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000347s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000387s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.001865s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | SQL: SHOW COLUMNS FROM `czxy_roleadmin` [ RunTime:0.001879s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | SQL: SELECT COUNT(*) AS tp_count FROM czxy_roleadmin a LEFT JOIN czxy_rolepri b ON b.rid=a.rid
                LEFT JOIN czxy_privilege c ON b.pid=c.id  WHERE ( a.aid = '3' ) AND ( c.modulename = 'Admin' ) AND ( c.controllername = 'Admin' ) AND ( c.actionname = 'showfeedback' ) LIMIT 1   [ RunTime:0.000402s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | SQL: SHOW COLUMNS FROM `czxy_admin` [ RunTime:0.001966s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | SQL: SELECT `feedback` FROM `czxy_admin` WHERE ( `id` = '3' ) LIMIT 1   [ RunTime:0.000194s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ view_template ] --START--
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Run LocationTemplate Behavior [ RunTime:0.000248s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ view_template ] --END-- [ RunTime:0.000289s ]
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | INFO: Tag[ view_parse ] --START--
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:36+08:00 ] /health/admin.php/Admin/showfeedback | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
